,model,mean_cv_acc,holdout_acc,validation_acc,cv,best_params,date_modified
0,svc_lin,0.8787128712871287,0.7333333333333333,0.6875,2,{'classifier__C': 2.8183829312644537},2018-07-12 16:17:59
1,log,0.8638613861386139,0.7291666666666666,0.6875,2,"{'classifier__C': 1.6102620275609394, 'classifier__penalty': 'l1'}",2018-07-12 16:18:18
2,svc_lin,0.8638613861386139,0.7208333333333333,0.6666666666666666,2,{'classifier__C': 1.9952623149688795},2018-07-12 16:37:01
3,log,0.8663366336633663,0.7541666666666667,0.6666666666666666,2,"{'classifier__C': 10.826367338740546, 'classifier__penalty': 'l2'}",2018-07-12 16:37:24
4,knn,0.6386138613861386,0.38333333333333336,0.625,2,"{'classifier__n_neighbors': 130, 'classifier__p': 1, 'classifier__weights': 'uniform'}",2018-07-12 16:37:40
5,rand_for,0.99009900990099,0.6916666666666667,0.6145833333333334,2,"{'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 4, 'classifier__n_estimators': 125}",2018-07-12 16:38:26
6,ann,0.8193069306930693,0.7666666666666667,0.75,2,"{'classifier__activation': 'identity', 'classifier__alpha': 0.7000000000000001, 'classifier__hidden_layer_sizes': (100, 100, 100), 'classifier__solver': 'lbfgs'}",2018-07-12 16:48:29
7,gnb,0.8589108910891089,0.7083333333333334,0.71875,2,{'classifier__priors': None},2018-07-12 16:48:32
8,ada,0.9331683168316832,0.5083333333333333,0.65625,2,"{'classifier__learning_rate': 0.10000000000000001, 'classifier__n_estimators': 161}",2018-07-12 16:49:11
