mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_colsample_bytree,param_gamma,param_max_depth,param_min_child_weight,param_subsample,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
4.55466612180074,0.07500092188517253,0.9647335423197492,0.9976507367053475,0.6,0.5,3,1,0.6,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 3, 'min_child_weight': 1, 'subsample': 0.6}",25,0.9672897196261683,0.9988207547169812,0.9693396226415094,0.9953051643192489,0.9575471698113207,0.9988262910798122,0.060287076451907506,0.015237320222808907,0.005138304939188668,0.001658571680020577
4.613332351048787,0.06450215975443523,0.9670846394984326,0.9976488912510705,0.6,0.5,3,1,0.8,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 3, 'min_child_weight': 1, 'subsample': 0.8}",6,0.969626168224299,0.9976415094339622,0.9716981132075472,0.9964788732394366,0.9599056603773585,0.9988262910798122,0.1005884474264123,0.0017804337341734437,0.005134636144146455,0.0009583435353936844
5.4864998658498125,0.06650122006734212,0.9639498432601881,0.9952959370478638,0.6,0.5,3,1,1.0,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 3, 'min_child_weight': 1, 'subsample': 1.0}",39,0.9626168224299065,0.9941037735849056,0.9693396226415094,0.9929577464788732,0.9599056603773585,0.9988262910798122,0.5186795026583654,0.0064801238409012,0.003960256152008633,0.0025398023840595275
4.106831947962443,0.06883533795674641,0.9639498432601881,0.9952977825021407,0.6,0.5,3,5,0.6,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 3, 'min_child_weight': 5, 'subsample': 0.6}",39,0.9672897196261683,0.9952830188679245,0.9669811320754716,0.9929577464788732,0.9575471698113207,0.9976525821596244,0.14921932637995422,0.010183783134484365,0.004518492960918296,0.0019166870707873235
4.462998151779175,0.071167786916097,0.9639498432601881,0.9968664186376118,0.6,0.5,3,5,0.8,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 3, 'min_child_weight': 5, 'subsample': 0.8}",39,0.969626168224299,0.9976415094339622,0.964622641509434,0.994131455399061,0.9575471698113207,0.9988262910798122,0.3759502853494783,0.01969000436934206,0.004957809757551209,0.0019934801770194214
4.622998158137004,0.06833720207214355,0.9655172413793104,0.9945097735258512,0.6,0.5,3,5,1.0,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 3, 'min_child_weight': 5, 'subsample': 1.0}",17,0.9672897196261683,0.9917452830188679,0.9693396226415094,0.9929577464788732,0.9599056603773585,0.9988262910798122,0.7211136952453044,0.006760749051402813,0.00404628638602094,0.0030921146761510323
4.141665617624919,0.0758356253306071,0.9529780564263323,0.9886264652906959,0.6,0.5,3,10,0.6,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 3, 'min_child_weight': 10, 'subsample': 0.6}",148,0.9462616822429907,0.9823113207547169,0.9551886792452831,0.9894366197183099,0.9575471698113207,0.994131455399061,0.3605453480129559,0.012729698768852004,0.004867421907364875,0.004859434699636197
4.458998203277588,0.08116785685221355,0.963166144200627,0.99294113739038,0.6,0.5,3,10,0.8,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 3, 'min_child_weight': 10, 'subsample': 0.8}",53,0.9649532710280374,0.9893867924528302,0.9622641509433962,0.994131455399061,0.9622641509433962,0.9953051643192489,0.4938231974329306,0.013275350487887517,0.0012696363054593126,0.0025585704483358897
4.502664248148601,0.06633440653483073,0.963166144200627,0.9905900286414503,0.6,0.5,3,10,1.0,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 3, 'min_child_weight': 10, 'subsample': 1.0}",53,0.9649532710280374,0.9870283018867925,0.9669811320754716,0.9906103286384976,0.9575471698113207,0.994131455399061,0.4517185905797123,0.007038285279934158,0.004049537141062046,0.0028998858048922423
4.864832798639934,0.0733346939086914,0.9663009404388715,0.9976488912510705,0.6,0.5,4,1,0.6,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 4, 'min_child_weight': 1, 'subsample': 0.6}",12,0.9672897196261683,0.9976415094339622,0.9716981132075472,0.9964788732394366,0.9599056603773585,0.9988262910798122,0.49711061680646734,0.014819100831203887,0.004857755586818674,0.0009583435353936844
5.268998940785726,0.08633462587992351,0.9663009404388715,0.9976488912510705,0.6,0.5,4,1,0.8,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 4, 'min_child_weight': 1, 'subsample': 0.8}",12,0.9672897196261683,0.9976415094339622,0.9716981132075472,0.9964788732394366,0.9599056603773585,0.9988262910798122,0.278271255775563,0.00623625963067036,0.004857755586818674,0.0009583435353936844
6.482665141423543,0.09583282470703125,0.9686520376175548,0.9972576549443412,0.6,0.5,4,1,1.0,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 4, 'min_child_weight': 1, 'subsample': 1.0}",2,0.9719626168224299,0.9976415094339622,0.9716981132075472,0.9953051643192489,0.9622641509433962,0.9988262910798122,0.5159882275004736,0.03965786395806824,0.004507598013313908,0.0014628947599173816
4.220665613810222,0.0715016523996989,0.9647335423197492,0.9949028552868574,0.6,0.5,4,5,0.6,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 4, 'min_child_weight': 5, 'subsample': 0.6}",25,0.9672897196261683,0.9929245283018868,0.9669811320754716,0.994131455399061,0.9599056603773585,0.9976525821596244,0.13355088411688965,0.005612482872055244,0.0034081377524081903,0.0020058110014963973
