,model,mean_cv_acc,holdout_acc,validation_acc,cv,best_params,date_modified,variant
37,ann,0.8705882352941177,0.8181818181818182,0.9,2.0,"{'classifier__activation': 'relu', 'classifier__alpha': 0.9, 'classifier__hidden_layer_sizes': (100, 100, 100, 100), 'classifier__solver': 'sgd', 'kbest__k': 30}",2018-07-18 01:52:35,FSSV3
38,gnb,0.8235294117647058,0.7727272727272727,0.8666666666666667,2.0,"{'classifier__priors': None, 'kbest__k': 15}",2018-07-18 01:52:35,FSSV3
39,knn,0.8235294117647058,0.7727272727272727,0.8333333333333334,2.0,"{'classifier__n_neighbors': 8, 'classifier__p': 1, 'classifier__weights': 'uniform', 'kbest__k': 25}",2018-07-18 01:52:35,FSSV3
40,log,0.8470588235294118,0.7727272727272727,0.9,2.0,"{'classifier__C': 10.826367338740546, 'classifier__penalty': 'l1', 'kbest__k': 10}",2018-07-18 01:52:35,FSSV3
41,rand_for,0.9529411764705882,0.8636363636363636,0.8333333333333334,2.0,"{'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 8, 'classifier__n_estimators': 25, 'kbest__k': 37}",2018-07-18 01:52:35,FSSV3
42,svc_lin,0.8588235294117647,0.7272727272727273,0.8,2.0,"{'classifier__C': 1.0, 'kbest__k': 10}",2018-07-18 01:52:35,FSSV3
43,xgboost,1.0,0.7272727272727273,0.7666666666666667,2.0,"{'classifier__gamma': 0.017782794100389229, 'classifier__learning_rate': 1.7782794100389228, 'classifier__n_estimators': 250, 'kbest__k': 30}",2018-07-18 01:52:35,FSSV3
44,gnb,0.7882352941176469,0.8181818181818182,0.75,2.0,"{'classifier__priors': None, 'pca__n_components': 2}",2018-07-18 02:52:20,PCA
45,gnb,0.7882352941176469,0.8181818181818182,0.8125,2.0,"{'classifier__priors': None, 'pca__n_components': 2}",2018-07-18 02:55:52,PCA
46,log,0.9529411764705882,0.8181818181818182,0.8125,5.0,"{'classifier__C': 1.0, 'classifier__penalty': 'l2'}",2018-07-20 17:36:53,5FOLD
47,rand_for,0.9764705882352941,0.8181818181818182,0.6875,5.0,"{'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 6, 'classifier__n_estimators': 100}",2018-07-20 22:27:06,5FOLD
48,log,0.9529411764705882,0.7727272727272727,0.6875,5.0,"{'classifier__C': 1.0, 'classifier__penalty': 'l1'}",2018-07-20 22:27:15,5FOLD
